<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURTHB,D,19930104,000000,33.954,33.954,33.954,33.954,0,0
EURTHB,D,19930105,000000,34.402,34.402,34.402,34.402,0,0
EURTHB,D,19930106,000000,34.136,34.136,34.136,34.136,0,0
EURTHB,D,19930107,000000,34.183,34.183,34.183,34.183,0,0
EURTHB,D,19930108,000000,34.121,34.121,34.121,34.121,0,0
EURTHB,D,19930111,000000,34.365,34.365,34.365,34.365,0,0
EURTHB,D,19930112,000000,34.27,34.27,34.27,34.27,0,0
EURTHB,D,19930113,000000,34.27,34.27,34.27,34.27,0,0
EURTHB,D,19930114,000000,34.553,34.553,34.553,34.553,0,0
EURTHB,D,19930115,000000,34.279,34.279,34.279,34.279,0,0
EURTHB,D,19930118,000000,34.29,34.29,34.29,34.29,0,0
EURTHB,D,19930119,000000,34.734,34.734,34.734,34.734,0,0
EURTHB,D,19930120,000000,34.828,34.828,34.828,34.828,0,0
EURTHB,D,19930121,000000,34.58,34.58,34.58,34.58,0,0
EURTHB,D,19930122,000000,34.959,34.959,34.959,34.959,0,0
EURTHB,D,19930125,000000,35.455,35.455,35.455,35.455,0,0
EURTHB,D,19930126,000000,35.275,35.275,35.275,35.275,0,0
EURTHB,D,19930127,000000,35.025,35.025,35.025,35.025,0,0
EURTHB,D,19930128,000000,34.996,34.996,34.996,34.996,0,0
EURTHB,D,19930129,000000,34.507,34.507,34.507,34.507,0,0
EURTHB,D,19930201,000000,34.034,34.034,34.034,34.034,0,0
EURTHB,D,19930202,000000,33.893,33.893,33.893,33.893,0,0
EURTHB,D,19930203,000000,33.671,33.671,33.671,33.671,0,0
EURTHB,D,19930204,000000,33.624,33.624,33.624,33.624,0,0
EURTHB,D,19930205,000000,33.739,33.739,33.739,33.739,0,0
EURTHB,D,19930208,000000,33.69,33.69,33.69,33.69,0,0
EURTHB,D,19930209,000000,33.688,33.688,33.688,33.688,0,0
EURTHB,D,19930210,000000,33.497,33.497,33.497,33.497,0,0
EURTHB,D,19930211,000000,33.517,33.517,33.517,33.517,0,0
EURTHB,D,19930212,000000,33.361,33.361,33.361,33.361,0,0
EURTHB,D,19930215,000000,33.314,33.314,33.314,33.314,0,0
EURTHB,D,19930216,000000,33.941,33.941,33.941,33.941,0,0
EURTHB,D,19930217,000000,33.872,33.872,33.872,33.872,0,0
EURTHB,D,19930218,000000,33.837,33.837,33.837,33.837,0,0
EURTHB,D,19930219,000000,33.728,33.728,33.728,33.728,0,0
EURTHB,D,19930222,000000,33.758,33.758,33.758,33.758,0,0
EURTHB,D,19930223,000000,33.922,33.922,33.922,33.922,0,0
EURTHB,D,19930224,000000,33.76,33.76,33.76,33.76,0,0
EURTHB,D,19930225,000000,33.586,33.586,33.586,33.586,0,0
EURTHB,D,19930226,000000,33.432,33.432,33.432,33.432,0,0
EURTHB,D,19930301,000000,33.483,33.483,33.483,33.483,0,0
EURTHB,D,19930302,000000,33.598,33.598,33.598,33.598,0,0
EURTHB,D,19930303,000000,33.469,33.469,33.469,33.469,0,0
EURTHB,D,19930304,000000,33.588,33.588,33.588,33.588,0,0
EURTHB,D,19930305,000000,33.064,33.064,33.064,33.064,0,0
EURTHB,D,19930308,000000,33.332,33.332,33.332,33.332,0,0
EURTHB,D,19930309,000000,33.015,33.015,33.015,33.015,0,0
EURTHB,D,19930310,000000,33.162,33.162,33.162,33.162,0,0
EURTHB,D,19930311,000000,33.182,33.182,33.182,33.182,0,0
EURTHB,D,19930312,000000,33.073,33.073,33.073,33.073,0,0
