<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THBEGP,D,19951116,000000,0.12124,0.12124,0.12124,0.12124,0,0
THBEGP,D,19951117,000000,0.1213,0.1213,0.1213,0.1213,0,0
THBEGP,D,19951120,000000,0.12107,0.12107,0.12107,0.12107,0,0
THBEGP,D,19951121,000000,0.12119,0.12119,0.12119,0.12119,0,0
THBEGP,D,19951122,000000,0.12146,0.12146,0.12146,0.12146,0,0
THBEGP,D,19951123,000000,0.12118,0.12118,0.12118,0.12118,0,0
THBEGP,D,19951124,000000,0.12109,0.12109,0.12109,0.12109,0,0
THBEGP,D,19951127,000000,0.12092,0.12092,0.12092,0.12092,0,0
THBEGP,D,19951128,000000,0.12108,0.12108,0.12108,0.12108,0,0
THBEGP,D,19951129,000000,0.12102,0.12102,0.12102,0.12102,0,0
THBEGP,D,19951130,000000,0.12062,0.12062,0.12062,0.12062,0,0
THBEGP,D,19951201,000000,0.12133,0.12133,0.12133,0.12133,0,0
THBEGP,D,19951204,000000,0.12101,0.12101,0.12101,0.12101,0,0
THBEGP,D,19951205,000000,0.12121,0.12121,0.12121,0.12121,0,0
THBEGP,D,19951206,000000,0.12105,0.12105,0.12105,0.12105,0,0
THBEGP,D,19951207,000000,0.12107,0.12107,0.12107,0.12107,0,0
THBEGP,D,19951208,000000,0.12058,0.12058,0.12058,0.12058,0,0
THBEGP,D,19951211,000000,0.12087,0.12087,0.12087,0.12087,0,0
THBEGP,D,19951212,000000,0.12059,0.12059,0.12059,0.12059,0,0
THBEGP,D,19951213,000000,0.12074,0.12074,0.12074,0.12074,0,0
THBEGP,D,19951214,000000,0.12112,0.12112,0.12112,0.12112,0,0
THBEGP,D,19951215,000000,0.12067,0.12067,0.12067,0.12067,0,0
THBEGP,D,19951218,000000,0.12124,0.12124,0.12124,0.12124,0,0
THBEGP,D,19951219,000000,0.1208,0.1208,0.1208,0.1208,0,0
THBEGP,D,19951220,000000,0.12059,0.12059,0.12059,0.12059,0,0
THBEGP,D,19951221,000000,0.12071,0.12071,0.12071,0.12071,0,0
THBEGP,D,19951222,000000,0.12084,0.12084,0.12084,0.12084,0,0
THBEGP,D,19951227,000000,0.12081,0.12081,0.12081,0.12081,0,0
THBEGP,D,19951228,000000,0.12064,0.12064,0.12064,0.12064,0,0
THBEGP,D,19951229,000000,0.12077,0.12077,0.12077,0.12077,0,0
THBEGP,D,19960102,000000,0.12063,0.12063,0.12063,0.12063,0,0
THBEGP,D,19960103,000000,0.12044,0.12044,0.12044,0.12044,0,0
THBEGP,D,19960104,000000,0.11986,0.11986,0.11986,0.11986,0,0
THBEGP,D,19960105,000000,0.12066,0.12066,0.12066,0.12066,0,0
THBEGP,D,19960108,000000,0.12023,0.12023,0.12023,0.12023,0,0
THBEGP,D,19960109,000000,0.11911,0.11911,0.11911,0.11911,0,0
THBEGP,D,19960110,000000,0.12025,0.12025,0.12025,0.12025,0,0
THBEGP,D,19960111,000000,0.12011,0.12011,0.12011,0.12011,0,0
THBEGP,D,19960112,000000,0.12013,0.12013,0.12013,0.12013,0,0
THBEGP,D,19960115,000000,0.1199,0.1199,0.1199,0.1199,0,0
