<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUSD.V,D,20191021,000000,1.015,1.023,0.988,1.002,0,0
BUSD.V,D,20191022,000000,1.002,1.025,0.9982,1.002,0,0
BUSD.V,D,20191023,000000,1.002,1.058,0.9477,1.002,0,0
BUSD.V,D,20191024,000000,1.002,1.02,0.9887,1,0,0
BUSD.V,D,20191025,000000,1,1.033,0.8853,1,0,0
BUSD.V,D,20191026,000000,1,1.103,0.9674,1.001,0,0
BUSD.V,D,20191027,000000,1.001,1.027,0.9613,1.001,0,0
BUSD.V,D,20191028,000000,1.001,1.044,0.9945,1,0,0
BUSD.V,D,20191029,000000,1,1.017,0.9576,1.007,0,0
BUSD.V,D,20191030,000000,1.007,1.048,0.9842,1.001,0,0
BUSD.V,D,20191031,000000,1.001,1.017,0.9767,1.001,0,0
BUSD.V,D,20191101,000000,1.001,1.011,0.9719,1.003,0,0
BUSD.V,D,20191102,000000,1.003,1.018,0.9972,1.003,0,0
BUSD.V,D,20191103,000000,1.003,1.018,0.9863,1.001,0,0
BUSD.V,D,20191104,000000,1.001,1.019,0.9712,1.002,0,0
BUSD.V,D,20191105,000000,1.002,1.019,0.9681,1.002,0,0
BUSD.V,D,20191106,000000,1.002,1.018,0.9843,1.001,0,0
BUSD.V,D,20191107,000000,1.001,1.031,0.9899,1.001,0,0
BUSD.V,D,20191108,000000,1.001,1.025,0.9862,1.002,0,0
BUSD.V,D,20191109,000000,1.002,1.003,0.9882,1,0,0
BUSD.V,D,20191110,000000,1,1.015,0.9718,1.001,0,0
BUSD.V,D,20191111,000000,1.001,1.031,0.9974,1.002,0,0
BUSD.V,D,20191112,000000,1.002,1.003,0.9768,1.002,0,0
BUSD.V,D,20191113,000000,1.002,1.01,0.9872,1.002,0,0
BUSD.V,D,20191114,000000,1.002,1.023,0.9922,1.001,0,0
BUSD.V,D,20191115,000000,1.001,1.039,0.988,1.002,0,0
BUSD.V,D,20191116,000000,1.002,1.006,0.9832,1.001,0,0
BUSD.V,D,20191117,000000,1.001,1.015,0.9825,1.003,0,0
BUSD.V,D,20191118,000000,1.003,1.036,0.9836,1.002,0,0
BUSD.V,D,20191119,000000,1.002,1.016,0.9848,1.002,0,0
BUSD.V,D,20191120,000000,1.002,1.018,0.9959,1.002,0,0
BUSD.V,D,20191121,000000,1.002,1.094,0.974,1.003,0,0
BUSD.V,D,20191122,000000,1.003,1.087,0.9239,1.003,0,0
BUSD.V,D,20191123,000000,1.003,1.019,0.9665,1.004,0,0
BUSD.V,D,20191124,000000,1.004,1.095,0.9951,1.003,0,0
BUSD.V,D,20191125,000000,1.003,1.041,0.9082,1.002,0,0
BUSD.V,D,20191126,000000,1.002,1.016,0.975,1.002,0,0
BUSD.V,D,20191127,000000,1.002,1.019,0.9242,1,0,0
BUSD.V,D,20191128,000000,1,1.027,0.9926,1.003,0,0
BUSD.V,D,20191129,000000,1.003,1.023,0.977,1.003,0,0
BUSD.V,D,20191130,000000,1.003,1.028,0.9918,1.005,0,0
BUSD.V,D,20191201,000000,1.005,1.012,0.9693,1.002,0,0
BUSD.V,D,20191202,000000,1.002,1.021,0.9906,1.004,0,0
BUSD.V,D,20191203,000000,1.004,1.02,0.9928,1.002,0,0
BUSD.V,D,20191204,000000,1.002,1.052,0.9895,1.004,0,0
BUSD.V,D,20191205,000000,1.004,1.011,0.9767,1.005,0,0
BUSD.V,D,20191206,000000,1.005,1.009,0.9853,1.003,0,0
BUSD.V,D,20191207,000000,1.003,1.015,0.9989,1,0,0
BUSD.V,D,20191208,000000,1,1.01,0.9745,1.002,0,0
BUSD.V,D,20191209,000000,1.002,1.028,0.9972,1.002,0,0
BUSD.V,D,20191210,000000,1.002,1.019,0.9904,1.002,0,0
BUSD.V,D,20191211,000000,1.002,1.026,0.9975,1.005,0,0
BUSD.V,D,20191212,000000,1.005,1.01,0.9649,1.003,0,0
BUSD.V,D,20191213,000000,1.003,1.007,0.9921,1.004,0,0
BUSD.V,D,20191214,000000,1.004,1.025,0.9986,1.003,0,0
BUSD.V,D,20191215,000000,1.003,1.013,0.9864,1.003,0,0
BUSD.V,D,20191216,000000,1.003,1.079,0.9805,1.001,0,0
BUSD.V,D,20191217,000000,1.001,1.091,0.9853,1.003,0,0
BUSD.V,D,20191218,000000,1.003,1.013,0.8766,1,0,0
BUSD.V,D,20191219,000000,1,1.045,0.9809,0.9988,0,0
BUSD.V,D,20191220,000000,0.9988,1.011,0.9832,1.004,0,0
BUSD.V,D,20191221,000000,1.004,1.014,1,1.005,0,0
BUSD.V,D,20191222,000000,1.005,1.009,0.9637,1.003,0,0
BUSD.V,D,20191223,000000,1.003,1.057,0.9876,1.001,0,0
BUSD.V,D,20191224,000000,1.001,1.015,0.994,1.002,0,0
BUSD.V,D,20191225,000000,1.002,1.027,0.9915,1.003,0,0
BUSD.V,D,20191226,000000,1.003,1.054,0.9918,1.002,0,0
BUSD.V,D,20191227,000000,1.002,1.005,0.9695,1.001,0,0
BUSD.V,D,20191228,000000,1.001,1.017,0.9883,1.004,0,0
BUSD.V,D,20191229,000000,1.004,1.028,0.9511,1.002,0,0
BUSD.V,D,20191230,000000,1.002,1.038,0.993,1.002,0,0
BUSD.V,D,20191231,000000,1.002,1.037,0.9944,1.001,0,0
BUSD.V,D,20200101,000000,1.001,1.02,0.9859,1.002,0,0
BUSD.V,D,20200102,000000,1.002,1.029,0.9964,1.002,0,0
BUSD.V,D,20200103,000000,1.002,1.009,0.9421,1.004,0,0
BUSD.V,D,20200104,000000,1.004,1.013,0.99,1.001,0,0
BUSD.V,D,20200105,000000,1.001,1.026,0.9948,1.003,0,0
BUSD.V,D,20200106,000000,1.003,1.003,0.938,1.002,0,0
BUSD.V,D,20200107,000000,1.002,1.016,0.9728,1.002,0,0
BUSD.V,D,20200108,000000,1.002,1.053,0.9764,1.001,0,0
BUSD.V,D,20200109,000000,1.001,1.026,0.9822,1,0,0
BUSD.V,D,20200110,000000,1,1.003,0.9361,1.001,0,0
BUSD.V,D,20200111,000000,1.001,1.039,0.998,1.002,0,0
BUSD.V,D,20200112,000000,1.002,1.006,0.9733,1.005,0,0
BUSD.V,D,20200113,000000,1.005,1.024,0.9905,1,0,0
BUSD.V,D,20200114,000000,1,1.026,0.8654,0.999,0,0
BUSD.V,D,20200115,000000,0.999,1.032,0.9579,1,0,0
BUSD.V,D,20200116,000000,1,1.02,0.9675,1.001,0,0
BUSD.V,D,20200117,000000,1.001,1.023,0.9523,0.9965,0,0
BUSD.V,D,20200118,000000,0.9965,1.03,0.9491,1,0,0
BUSD.V,D,20200119,000000,1,1.067,0.9702,1.002,0,0
BUSD.V,D,20200120,000000,1.002,1.016,0.9673,1.001,0,0
BUSD.V,D,20200121,000000,1.001,1.003,0.9735,0.9999,0,0
BUSD.V,D,20200122,000000,0.9999,1.02,0.9887,1.001,0,0
BUSD.V,D,20200123,000000,1.001,1.032,0.9767,0.9995,0,0
BUSD.V,D,20200124,000000,0.9995,1.013,0.9578,1.002,0,0
BUSD.V,D,20200125,000000,1.002,1.016,0.9845,1.001,0,0
BUSD.V,D,20200126,000000,1.001,1.002,0.9515,1.001,0,0
BUSD.V,D,20200127,000000,1.001,1.012,0.9733,1.001,0,0
BUSD.V,D,20200128,000000,1.001,1.004,0.9675,1.002,0,0
BUSD.V,D,20200129,000000,1.002,1.03,1,1.002,0,0
BUSD.V,D,20200130,000000,1.002,1.013,0.9259,1.001,0,0
BUSD.V,D,20200131,000000,1.001,1.032,0.9747,1,0,0
BUSD.V,D,20200201,000000,1,1.003,0.9765,1.001,0,0
BUSD.V,D,20200202,000000,1.001,1.028,0.9531,1.001,0,0
BUSD.V,D,20200203,000000,1.001,1.03,0.9853,1.002,0,0
BUSD.V,D,20200204,000000,1.002,1.016,0.98,1,0,0
BUSD.V,D,20200205,000000,1,1.019,0.922,1,0,0
BUSD.V,D,20200206,000000,1,1.016,0.9444,1,0,0
BUSD.V,D,20200207,000000,1,1.006,0.9552,1.001,0,0
BUSD.V,D,20200208,000000,1.001,1.02,0.9556,0.9995,0,0
BUSD.V,D,20200209,000000,0.9995,1.008,0.9749,0.9992,0,0
BUSD.V,D,20200210,000000,0.9992,1.029,0.9721,1.001,0,0
BUSD.V,D,20200211,000000,1.001,1.008,0.9176,1.001,0,0
BUSD.V,D,20200212,000000,1.001,1.034,0.8931,0.9999,0,0
BUSD.V,D,20200213,000000,0.9999,1.034,0.954,1.001,0,0
BUSD.V,D,20200214,000000,1.001,1.005,0.9104,1,0,0
BUSD.V,D,20200215,000000,1,1.09,0.991,1.001,0,0
BUSD.V,D,20200216,000000,1.001,1.056,0.9161,1.001,0,0
BUSD.V,D,20200217,000000,1.001,1.004,0.9072,1.001,0,0
BUSD.V,D,20200218,000000,1.001,1.011,0.9165,0.9993,0,0
BUSD.V,D,20200219,000000,0.9993,1.11,0.9823,1.001,0,0
BUSD.V,D,20200220,000000,1.001,1.025,0.9544,1,0,0
BUSD.V,D,20200221,000000,1,1.012,0.9585,1.001,0,0
BUSD.V,D,20200222,000000,1.001,1.018,0.9785,1,0,0
BUSD.V,D,20200223,000000,1,1.004,0.9514,1.002,0,0
BUSD.V,D,20200224,000000,1.002,1.048,0.9676,1.001,0,0
BUSD.V,D,20200225,000000,1.001,1.08,0.9934,1.001,0,0
BUSD.V,D,20200226,000000,1.001,1.119,0.9662,1.001,0,0
BUSD.V,D,20200227,000000,1.001,1.047,0.9234,0.9999,0,0
BUSD.V,D,20200228,000000,0.9999,1.033,0.942,1.002,0,0
BUSD.V,D,20200229,000000,1.002,1.073,1,1.001,0,0
BUSD.V,D,20200301,000000,1.001,1.049,0.978,1.003,0,0
BUSD.V,D,20200302,000000,1.003,1.012,0.9318,1,0,0
BUSD.V,D,20200303,000000,1,1.042,0.9852,1.001,0,0
BUSD.V,D,20200304,000000,1.001,1.019,0.9831,1.001,0,0
BUSD.V,D,20200305,000000,1.001,1.026,0.9828,1,0,0
BUSD.V,D,20200306,000000,1,1.001,0.9278,1.001,0,0
BUSD.V,D,20200307,000000,1.001,1.065,0.9989,1.002,0,0
BUSD.V,D,20200308,000000,1.002,1.194,0.9866,1.002,0,0
BUSD.V,D,20200309,000000,1.002,1.03,0.9392,1.001,0,0
BUSD.V,D,20200310,000000,1.001,1.03,0.977,1.001,0,0
BUSD.V,D,20200311,000000,1.001,1.043,0.9338,1,0,0
BUSD.V,D,20200312,000000,1,1.805,0.9565,1.012,0,0
BUSD.V,D,20200313,000000,1.012,1.077,0.6693,1.006,0,0
BUSD.V,D,20200314,000000,1.006,1.105,0.9866,0.999,0,0
BUSD.V,D,20200315,000000,0.999,1.078,0.9711,0.9979,0,0
BUSD.V,D,20200316,000000,0.9979,1.118,0.911,1.004,0,0
BUSD.V,D,20200317,000000,1.004,1.039,0.9416,0.9967,0,0
BUSD.V,D,20200318,000000,0.9967,1.001,0.9292,0.9996,0,0
BUSD.V,D,20200319,000000,0.9996,1.048,0.8465,0.9991,0,0
BUSD.V,D,20200320,000000,0.9991,1.146,0.8705,0.9997,0,0
BUSD.V,D,20200321,000000,0.9997,1.036,0.9493,1,0,0
BUSD.V,D,20200322,000000,1,1.121,0.9895,1,0,0
BUSD.V,D,20200323,000000,1,1.01,0.8769,1.002,0,0
BUSD.V,D,20200324,000000,1.002,1.035,0.9578,1.001,0,0
BUSD.V,D,20200325,000000,1.001,1.045,0.9742,0.9983,0,0
BUSD.V,D,20200326,000000,0.9983,1.009,0.9624,1.001,0,0
BUSD.V,D,20200327,000000,1.001,1.079,0.9892,0.9997,0,0
BUSD.V,D,20200328,000000,0.9997,1.016,0.953,1.001,0,0
BUSD.V,D,20200329,000000,1.001,1.063,0.9975,1.002,0,0
BUSD.V,D,20200330,000000,1.002,1.023,0.9389,1,0,0
BUSD.V,D,20200331,000000,1,1.017,0.9807,1.001,0,0
BUSD.V,D,20200401,000000,1.001,1.01,0.95,1.001,0,0
BUSD.V,D,20200402,000000,1.001,1.062,0.9592,1.001,0,0
BUSD.V,D,20200403,000000,1.001,1.039,0.9759,1.001,0,0
BUSD.V,D,20200404,000000,1.001,1.015,0.9639,1.001,0,0
BUSD.V,D,20200405,000000,1.001,1.021,0.9853,0.9993,0,0
BUSD.V,D,20200406,000000,0.9993,1.003,0.8333,1.001,0,0
BUSD.V,D,20200407,000000,1.001,1.072,0.9879,1,0,0
BUSD.V,D,20200408,000000,1,1.007,0.944,1,0,0
BUSD.V,D,20200409,000000,1,1.022,0.9744,1.001,0,0
BUSD.V,D,20200410,000000,1.001,1.016,0.994,1,0,0
BUSD.V,D,20200411,000000,1,1.004,0.9973,1.002,0,0
BUSD.V,D,20200412,000000,1.001,1.005,0.9984,1.001,0,0
BUSD.V,D,20200413,000000,1.001,1.008,0.9922,1.001,0,0
BUSD.V,D,20200414,000000,1.001,1.004,0.9964,0.9996,0,0
BUSD.V,D,20200415,000000,0.9996,1.003,0.9952,1,0,0
BUSD.V,D,20200416,000000,0.9995,1.016,0.9853,0.9994,0,0
BUSD.V,D,20200417,000000,1.001,1.004,0.9929,0.9992,0,0
BUSD.V,D,20200418,000000,1,1.014,0.994,1.001,0,0
BUSD.V,D,20200419,000000,1.001,1.005,0.987,1,0,0
BUSD.V,D,20200420,000000,0.9998,1.005,0.9912,1,0,0
BUSD.V,D,20200421,000000,1,1.005,0.9966,0.9999,0,0
BUSD.V,D,20200422,000000,0.9999,1.006,0.9977,1,0,0
BUSD.V,D,20200423,000000,1,1.015,0.9893,1.002,0,0
BUSD.V,D,20200424,000000,1.002,1.004,0.9941,0.9994,0,0
BUSD.V,D,20200425,000000,0.9999,1.007,0.996,1,0,0
BUSD.V,D,20200426,000000,0.9995,1.004,0.9958,0.9999,0,0
BUSD.V,D,20200427,000000,1,1.003,0.9945,0.9997,0,0
BUSD.V,D,20200428,000000,0.9992,1.006,0.9974,0.9997,0,0
BUSD.V,D,20200429,000000,0.9997,1.009,0.9925,1,0,0
BUSD.V,D,20200430,000000,1,1.009,0.9907,0.9991,0,0
BUSD.V,D,20200501,000000,0.9991,1.003,0.9976,1,0,0
BUSD.V,D,20200502,000000,1,1.002,0.9975,1,0,0
BUSD.V,D,20200503,000000,1,1.003,0.9897,1,0,0
BUSD.V,D,20200504,000000,1,1.004,0.9961,1.001,0,0
BUSD.V,D,20200505,000000,1.001,1.005,0.9902,1,0,0
BUSD.V,D,20200506,000000,1,1.004,0.9976,1,0,0
BUSD.V,D,20200507,000000,0.9999,1.006,0.9919,1.001,0,0
BUSD.V,D,20200508,000000,0.9999,1.003,0.9914,1.001,0,0
BUSD.V,D,20200509,000000,1.001,1.002,0.997,1,0,0
