<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VET.V,D,20180804,000000,1.53,1.54,0.01284,0.01301,0,0
VET.V,D,20180805,000000,0.01301,1.62,0.0127,0.01405,0,0
VET.V,D,20180806,000000,0.01405,0.01438,0.01291,0.01327,0,0
VET.V,D,20180807,000000,0.01326,0.01415,0.01261,0.01276,0,0
VET.V,D,20180808,000000,0.01277,0.01323,0.01029,0.01078,0,0
VET.V,D,20180809,000000,0.01078,0.01182,0.0106,0.0118,0,0
VET.V,D,20180810,000000,0.0118,0.01195,0.009372,0.009508,0,0
VET.V,D,20180811,000000,0.009503,0.00981,0.008678,0.009528,0,0
VET.V,D,20180812,000000,0.009528,0.009817,0.008969,0.009243,0,0
VET.V,D,20180813,000000,0.009307,0.009323,0.006938,0.007064,0,0
VET.V,D,20180814,000000,0.007001,0.007537,0.006018,0.007156,0,0
VET.V,D,20180815,000000,0.007154,0.008834,0.007099,0.008338,0,0
VET.V,D,20180816,000000,0.008273,0.01173,0.007695,0.01057,0,0
VET.V,D,20180817,000000,0.01057,0.01656,0.0105,0.01415,0,0
VET.V,D,20180818,000000,0.01415,0.01518,0.01115,0.01263,0,0
VET.V,D,20180819,000000,0.01263,0.01461,0.01214,0.0142,0,0
VET.V,D,20180820,000000,0.0142,0.01502,0.01327,0.01409,0,0
VET.V,D,20180821,000000,0.01396,0.01577,0.01291,0.01566,0,0
VET.V,D,20180822,000000,0.01559,0.01642,0.01245,0.01325,0,0
VET.V,D,20180823,000000,0.01325,0.01479,0.01271,0.01466,0,0
VET.V,D,20180824,000000,0.01466,0.01499,0.01393,0.01455,0,0
VET.V,D,20180825,000000,0.01448,0.01586,0.0142,0.01532,0,0
VET.V,D,20180826,000000,0.01518,0.01554,0.01443,0.01521,0,0
VET.V,D,20180827,000000,0.01514,0.01727,0.01498,0.01666,0,0
VET.V,D,20180828,000000,0.01673,0.01885,0.01658,0.0179,0,0
VET.V,D,20180829,000000,0.0179,0.01823,0.0165,0.01726,0,0
VET.V,D,20180830,000000,0.01732,0.01741,0.01561,0.01661,0,0
VET.V,D,20180831,000000,0.01662,0.01773,0.01637,0.01704,0,0
VET.V,D,20180901,000000,0.01704,0.01876,0.0169,0.01813,0,0
VET.V,D,20180902,000000,0.01821,0.01852,0.01733,0.01785,0,0
VET.V,D,20180903,000000,0.01785,0.01923,0.01738,0.0191,0,0
VET.V,D,20180904,000000,0.0191,0.01994,0.01856,0.01923,0,0
VET.V,D,20180905,000000,0.01924,0.01982,0.01614,0.01701,0,0
VET.V,D,20180906,000000,0.01701,0.01704,0.0148,0.01575,0,0
VET.V,D,20180907,000000,0.01575,0.01683,0.01512,0.0157,0,0
VET.V,D,20180908,000000,0.0157,0.01617,0.01419,0.0145,0,0
VET.V,D,20180909,000000,0.0145,0.01539,0.01411,0.01486,0,0
VET.V,D,20180910,000000,0.01486,0.01538,0.01373,0.01407,0,0
VET.V,D,20180911,000000,0.01407,0.01436,0.0127,0.0132,0,0
VET.V,D,20180912,000000,0.0132,0.01411,0.01165,0.01374,0,0
VET.V,D,20180913,000000,0.01374,0.01442,0.01323,0.01397,0,0
VET.V,D,20180914,000000,0.01397,0.01437,0.01346,0.01414,0,0
VET.V,D,20180915,000000,0.01414,0.01469,0.01375,0.01426,0,0
VET.V,D,20180916,000000,0.01425,0.01438,0.01372,0.01418,0,0
VET.V,D,20180917,000000,0.01417,0.01443,0.01232,0.01276,0,0
VET.V,D,20180918,000000,0.01276,0.01334,0.01233,0.01305,0,0
VET.V,D,20180919,000000,0.01305,0.01333,0.01221,0.01293,0,0
VET.V,D,20180920,000000,0.01293,0.01361,0.01283,0.01344,0,0
VET.V,D,20180921,000000,0.01336,0.01471,0.01321,0.0142,0,0
VET.V,D,20180922,000000,0.0142,0.01469,0.01335,0.01373,0,0
VET.V,D,20180923,000000,0.01366,0.01419,0.01357,0.01383,0,0
VET.V,D,20180924,000000,0.01383,0.01409,0.01287,0.01331,0,0
VET.V,D,20180925,000000,0.01331,0.01337,0.01209,0.0126,0,0
VET.V,D,20180926,000000,0.0126,0.01296,0.01232,0.01256,0,0
VET.V,D,20180927,000000,0.01256,0.01326,0.01236,0.01316,0,0
VET.V,D,20180928,000000,0.01323,0.01368,0.0129,0.01316,0,0
VET.V,D,20180929,000000,0.01316,0.01318,0.01267,0.01293,0,0
VET.V,D,20180930,000000,0.01293,0.0132,0.01262,0.01277,0,0
VET.V,D,20181001,000000,0.01277,0.01304,0.01259,0.01286,0,0
VET.V,D,20181002,000000,0.01286,0.01343,0.0127,0.01297,0,0
VET.V,D,20181003,000000,0.01297,0.01313,0.01254,0.0127,0,0
VET.V,D,20181004,000000,0.0127,0.01304,0.01263,0.01283,0,0
VET.V,D,20181005,000000,0.01283,0.01324,0.01272,0.01305,0,0
VET.V,D,20181006,000000,0.01312,0.0133,0.01287,0.01306,0,0
VET.V,D,20181007,000000,0.01305,0.01313,0.01282,0.01301,0,0
VET.V,D,20181008,000000,0.01302,0.01391,0.01297,0.01379,0,0
VET.V,D,20181009,000000,0.01385,0.01391,0.01334,0.01351,0,0
VET.V,D,20181010,000000,0.01358,0.01371,0.01294,0.01327,0,0
VET.V,D,20181011,000000,0.01327,0.0133,0.01151,0.01169,0,0
VET.V,D,20181012,000000,0.0117,0.01181,0.01099,0.01153,0,0
VET.V,D,20181013,000000,0.01153,0.01172,0.01138,0.01146,0,0
VET.V,D,20181014,000000,0.01146,0.01177,0.01139,0.01152,0,0
VET.V,D,20181015,000000,0.01152,0.01248,0.01114,0.01158,0,0
VET.V,D,20181016,000000,0.01158,0.01209,0.01151,0.0119,0,0
